Employee_ID,Name,Department,Role,Hire_Date,Month,KPI_Score,Attendance_Rate,Attrition,Tenure_Months,Manager
EMP1001,David Mccarthy,Sales,Associate,2024-11-08,Apr-2024,93.8,97.2,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Senior Associate,2024-11-08,May-2024,66.0,98.7,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Analyst,2024-11-08,Jun-2024,79.9,97.3,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Analyst,2024-11-08,Jul-2024,61.8,99.0,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Associate,2024-11-08,Aug-2024,93.3,98.0,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Senior Associate,2024-11-08,Sep-2024,86.8,99.8,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Senior Associate,2024-11-08,Oct-2024,70.3,87.3,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Analyst,2024-11-08,Nov-2024,57.9,99.5,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Associate,2024-11-08,Dec-2024,88.5,97.6,No,11,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Analyst,2024-08-04,Jan-2024,73.9,91.2,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Specialist,2024-08-04,Feb-2024,87.4,89.1,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Senior Associate,2024-08-04,Mar-2024,75.1,96.5,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Specialist,2024-08-04,Apr-2024,75.5,99.2,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Associate,2024-08-04,May-2024,70.5,91.8,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Analyst,2024-08-04,Jun-2024,81.2,86.9,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Analyst,2024-08-04,Jul-2024,76.2,88.4,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Analyst,2024-08-04,Aug-2024,80.1,95.1,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Analyst,2024-08-04,Sep-2024,59.7,86.7,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Analyst,2024-08-04,Oct-2024,87.8,95.1,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Associate,2024-08-04,Nov-2024,90.5,92.8,No,14,Kimberly Jefferson
EMP1002,Brandon Tran,Sales,Senior Associate,2024-08-04,Dec-2024,76.2,97.8,Yes,14,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Specialist,2024-06-05,Jan-2024,95.6,98.1,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Analyst,2024-06-05,Feb-2024,92.6,91.1,Yes,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Analyst,2024-06-05,Mar-2024,81.5,95.6,Yes,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Specialist,2024-06-05,Apr-2024,88.7,88.2,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Associate,2024-06-05,May-2024,85.6,90.9,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Analyst,2024-06-05,Jun-2024,57.4,91.6,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Associate,2024-06-05,Jul-2024,72.3,92.7,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Specialist,2024-06-05,Aug-2024,82.2,96.8,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Specialist,2024-06-05,Sep-2024,91.3,97.9,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Senior Associate,2024-06-05,Oct-2024,61.2,99.2,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Senior Associate,2024-06-05,Nov-2024,58.0,91.9,No,16,Kimberly Jefferson
EMP1003,Jeremy Gross,Sales,Specialist,2024-06-05,Dec-2024,74.4,99.7,No,16,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Specialist,2025-03-15,Jan-2024,54.3,94.5,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Senior Associate,2025-03-15,Feb-2024,74.1,88.6,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Specialist,2025-03-15,Mar-2024,78.7,87.7,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Senior Associate,2025-03-15,Apr-2024,65.6,90.2,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Analyst,2025-03-15,May-2024,74.4,95.0,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Analyst,2025-03-15,Jun-2024,84.6,87.6,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Associate,2025-03-15,Jul-2024,69.7,87.7,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Associate,2025-03-15,Aug-2024,67.1,86.3,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Senior Associate,2025-03-15,Sep-2024,73.9,88.1,Yes,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Associate,2025-03-15,Oct-2024,64.6,90.5,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Analyst,2025-03-15,Nov-2024,94.6,85.6,No,7,Kimberly Jefferson
EMP1004,Kayla Wilson,Sales,Associate,2025-03-15,Dec-2024,75.4,97.0,No,7,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Specialist,2023-04-06,Jan-2024,68.0,98.1,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Specialist,2023-04-06,Feb-2024,77.1,98.8,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Specialist,2023-04-06,Mar-2024,73.9,97.1,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Senior Associate,2023-04-06,Apr-2024,72.8,96.2,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Specialist,2023-04-06,May-2024,69.7,90.6,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Analyst,2023-04-06,Jun-2024,69.2,92.3,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Senior Associate,2023-04-06,Jul-2024,59.8,91.9,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Analyst,2023-04-06,Aug-2024,88.7,96.2,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Associate,2023-04-06,Sep-2024,80.8,92.7,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Senior Associate,2023-04-06,Oct-2024,78.1,93.0,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Analyst,2023-04-06,Nov-2024,73.7,93.0,No,30,Kimberly Jefferson
EMP1005,Chad Perez,Sales,Senior Associate,2023-04-06,Dec-2024,65.4,88.6,No,30,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Senior Associate,2025-01-09,Jan-2024,67.4,85.3,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Specialist,2025-01-09,Feb-2024,60.8,89.8,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Analyst,2025-01-09,Mar-2024,68.5,86.8,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Analyst,2025-01-09,Apr-2024,64.2,98.4,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Senior Associate,2025-01-09,May-2024,91.9,96.8,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Associate,2025-01-09,Jun-2024,83.8,92.5,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Associate,2025-01-09,Jul-2024,75.8,93.8,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Associate,2025-01-09,Aug-2024,66.4,96.2,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Specialist,2025-01-09,Sep-2024,64.6,89.3,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Specialist,2025-01-09,Oct-2024,73.1,90.4,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Senior Associate,2025-01-09,Nov-2024,84.3,90.3,No,9,Kimberly Jefferson
EMP1006,Laura Douglas,Sales,Associate,2025-01-09,Dec-2024,94.1,99.8,No,9,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Associate,2023-05-10,Jan-2024,61.0,86.5,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Specialist,2023-05-10,Feb-2024,80.6,87.3,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Senior Associate,2023-05-10,Mar-2024,68.5,87.8,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Senior Associate,2023-05-10,Apr-2024,70.1,89.3,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Specialist,2023-05-10,May-2024,75.5,91.2,Yes,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Specialist,2023-05-10,Jun-2024,66.7,99.7,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Analyst,2023-05-10,Jul-2024,72.6,99.5,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Senior Associate,2023-05-10,Aug-2024,65.9,98.0,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Senior Associate,2023-05-10,Sep-2024,69.2,87.6,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Senior Associate,2023-05-10,Oct-2024,82.6,95.0,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Senior Associate,2023-05-10,Nov-2024,76.0,93.6,No,29,Kimberly Jefferson
EMP1007,Joshua Gardner,Sales,Associate,2023-05-10,Dec-2024,82.5,89.2,No,29,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Associate,2023-11-25,Jan-2024,68.4,89.9,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Senior Associate,2023-11-25,Feb-2024,80.7,91.4,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Associate,2023-11-25,Mar-2024,58.7,86.7,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Specialist,2023-11-25,Apr-2024,75.5,94.2,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Associate,2023-11-25,May-2024,81.4,87.3,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Senior Associate,2023-11-25,Jun-2024,58.4,92.2,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Analyst,2023-11-25,Jul-2024,68.5,90.0,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Associate,2023-11-25,Aug-2024,75.5,87.0,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Specialist,2023-11-25,Sep-2024,85.1,88.8,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Senior Associate,2023-11-25,Oct-2024,69.2,95.2,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Senior Associate,2023-11-25,Nov-2024,80.3,92.1,No,23,Kimberly Jefferson
EMP1008,Juan Bates,Sales,Senior Associate,2023-11-25,Dec-2024,89.4,91.2,No,23,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Specialist,2024-09-17,Jan-2024,80.8,97.5,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Senior Associate,2024-09-17,Feb-2024,73.0,99.5,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Associate,2024-09-17,Mar-2024,78.7,99.1,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Senior Associate,2024-09-17,Apr-2024,69.0,87.7,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Senior Associate,2024-09-17,May-2024,75.9,93.6,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Associate,2024-09-17,Jun-2024,73.4,97.6,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Associate,2024-09-17,Jul-2024,78.4,88.0,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Specialist,2024-09-17,Aug-2024,70.9,87.5,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Analyst,2024-09-17,Sep-2024,78.9,95.0,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Specialist,2024-09-17,Oct-2024,70.8,92.8,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Associate,2024-09-17,Nov-2024,83.7,90.9,No,13,Kimberly Jefferson
EMP1009,Blake Mcpherson,Sales,Senior Associate,2024-09-17,Dec-2024,71.7,97.2,No,13,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Associate,2025-04-06,Jan-2024,54.6,91.9,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Specialist,2025-04-06,Feb-2024,64.9,89.5,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Senior Associate,2025-04-06,Mar-2024,75.2,88.5,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Specialist,2025-04-06,Apr-2024,91.8,98.5,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Senior Associate,2025-04-06,May-2024,83.3,98.6,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Senior Associate,2025-04-06,Jun-2024,52.9,94.4,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Senior Associate,2025-04-06,Jul-2024,60.2,87.1,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Specialist,2025-04-06,Aug-2024,86.4,96.9,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Senior Associate,2025-04-06,Sep-2024,81.3,98.4,Yes,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Senior Associate,2025-04-06,Oct-2024,97.7,96.8,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Analyst,2025-04-06,Nov-2024,70.4,88.7,No,6,Kimberly Jefferson
EMP1010,Jacob Reyes,Sales,Analyst,2025-04-06,Dec-2024,66.5,96.2,No,6,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Analyst,2024-11-18,Jan-2024,75.7,96.4,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Analyst,2024-11-18,Feb-2024,70.2,98.2,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Senior Associate,2024-11-18,Mar-2024,85.4,86.7,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Associate,2024-11-18,Apr-2024,69.9,97.7,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Specialist,2024-11-18,May-2024,72.3,97.0,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Associate,2024-11-18,Jun-2024,65.2,87.2,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Analyst,2024-11-18,Jul-2024,82.6,95.8,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Analyst,2024-11-18,Aug-2024,65.8,94.6,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Specialist,2024-11-18,Sep-2024,79.1,88.8,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Analyst,2024-11-18,Oct-2024,93.8,90.2,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Associate,2024-11-18,Nov-2024,57.2,91.9,No,11,Kimberly Jefferson
EMP1011,Annette Johnson,Sales,Analyst,2024-11-18,Dec-2024,90.0,99.2,No,11,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Associate,2024-05-24,Jan-2024,77.8,92.6,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Senior Associate,2024-05-24,Feb-2024,63.7,94.2,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Specialist,2024-05-24,Mar-2024,76.1,95.4,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Senior Associate,2024-05-24,Apr-2024,82.3,98.8,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Analyst,2024-05-24,May-2024,67.1,93.6,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Specialist,2024-05-24,Jun-2024,79.7,94.1,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Senior Associate,2024-05-24,Jul-2024,90.9,99.0,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Specialist,2024-05-24,Aug-2024,69.9,98.9,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Associate,2024-05-24,Sep-2024,65.1,99.8,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Analyst,2024-05-24,Oct-2024,73.7,97.6,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Specialist,2024-05-24,Nov-2024,75.6,93.9,No,17,Kimberly Jefferson
EMP1012,Daniel Martinez,Sales,Associate,2024-05-24,Dec-2024,85.9,91.0,No,17,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Specialist,2022-11-18,Jan-2024,73.4,97.0,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Specialist,2022-11-18,Feb-2024,70.7,85.1,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Analyst,2022-11-18,Mar-2024,64.9,93.1,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Analyst,2022-11-18,Apr-2024,58.5,98.8,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Specialist,2022-11-18,May-2024,62.1,96.1,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Specialist,2022-11-18,Jun-2024,62.0,91.8,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Senior Associate,2022-11-18,Jul-2024,72.4,87.1,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Associate,2022-11-18,Aug-2024,60.0,87.6,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Analyst,2022-11-18,Sep-2024,48.0,98.7,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Specialist,2022-11-18,Oct-2024,74.5,90.4,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Senior Associate,2022-11-18,Nov-2024,93.5,85.2,No,35,Kimberly Jefferson
EMP1013,Suzanne Stephens,Sales,Analyst,2022-11-18,Dec-2024,86.3,95.0,No,35,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Associate,2023-01-15,Jan-2024,72.3,86.3,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Specialist,2023-01-15,Feb-2024,63.9,100.0,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Associate,2023-01-15,Mar-2024,100.0,86.0,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Senior Associate,2023-01-15,Apr-2024,75.6,96.2,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Associate,2023-01-15,May-2024,77.0,88.1,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Specialist,2023-01-15,Jun-2024,73.6,87.9,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Associate,2023-01-15,Jul-2024,74.7,93.5,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Analyst,2023-01-15,Aug-2024,69.6,86.0,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Senior Associate,2023-01-15,Sep-2024,72.5,92.9,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Senior Associate,2023-01-15,Oct-2024,90.0,91.6,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Analyst,2023-01-15,Nov-2024,87.5,87.3,No,33,Kimberly Jefferson
EMP1014,Allison Weaver,Sales,Associate,2023-01-15,Dec-2024,54.3,87.7,No,33,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Senior Associate,2024-04-24,Jan-2024,60.9,94.7,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Analyst,2024-04-24,Feb-2024,67.2,91.1,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Senior Associate,2024-04-24,Mar-2024,84.4,85.4,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Associate,2024-04-24,Apr-2024,87.7,88.3,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Specialist,2024-04-24,May-2024,82.2,85.3,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Associate,2024-04-24,Jun-2024,63.7,86.6,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Associate,2024-04-24,Jul-2024,69.8,94.8,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Senior Associate,2024-04-24,Aug-2024,79.9,88.6,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Analyst,2024-04-24,Sep-2024,72.6,95.8,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Analyst,2024-04-24,Oct-2024,71.3,97.8,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Specialist,2024-04-24,Nov-2024,71.4,95.0,No,18,Kimberly Jefferson
EMP1015,Autumn Arroyo,Sales,Senior Associate,2024-04-24,Dec-2024,86.6,88.1,No,18,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Analyst,2024-06-13,Jan-2024,80.9,85.2,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Associate,2024-06-13,Feb-2024,71.9,86.3,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Senior Associate,2024-06-13,Mar-2024,78.3,91.3,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Senior Associate,2024-06-13,Apr-2024,62.5,98.4,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Analyst,2024-06-13,May-2024,69.8,88.9,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Senior Associate,2024-06-13,Jun-2024,85.5,90.7,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Associate,2024-06-13,Jul-2024,59.4,94.4,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Associate,2024-06-13,Aug-2024,81.1,91.1,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Analyst,2024-06-13,Sep-2024,54.2,89.4,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Specialist,2024-06-13,Oct-2024,92.0,99.2,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Specialist,2024-06-13,Nov-2024,69.6,98.0,No,16,Kimberly Jefferson
EMP1016,Valerie Fry,Sales,Associate,2024-06-13,Dec-2024,79.0,92.3,No,16,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,Jan-2024,76.1,91.4,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Senior Associate,2025-06-10,Feb-2024,76.5,85.3,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,Mar-2024,78.1,94.5,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Specialist,2025-06-10,Apr-2024,57.9,88.9,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,May-2024,76.7,99.8,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Associate,2025-06-10,Jun-2024,73.2,92.9,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,Jul-2024,69.6,85.3,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,Aug-2024,67.2,98.7,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,Sep-2024,77.0,89.1,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Analyst,2025-06-10,Oct-2024,65.2,93.3,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Associate,2025-06-10,Nov-2024,85.3,88.1,No,4,Kimberly Jefferson
EMP1017,Kathleen Ortega,Sales,Associate,2025-06-10,Dec-2024,79.7,85.2,No,4,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Specialist,2024-08-18,Jan-2024,77.6,94.0,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Associate,2024-08-18,Feb-2024,84.8,95.0,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Senior Associate,2024-08-18,Mar-2024,56.6,92.8,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Associate,2024-08-18,Apr-2024,62.2,85.7,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Senior Associate,2024-08-18,May-2024,80.2,86.2,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Senior Associate,2024-08-18,Jun-2024,67.7,94.0,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Associate,2024-08-18,Jul-2024,68.9,89.3,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Associate,2024-08-18,Aug-2024,60.9,90.3,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Senior Associate,2024-08-18,Sep-2024,65.2,93.5,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Senior Associate,2024-08-18,Oct-2024,85.5,92.1,Yes,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Analyst,2024-08-18,Nov-2024,79.9,96.0,No,14,Kimberly Jefferson
EMP1018,Christopher Williams,Sales,Analyst,2024-08-18,Dec-2024,76.8,88.2,No,14,Kimberly Jefferson
